key,sizes/0/group,sizes/0/size,sizes/0/color,sizes/1/group,sizes/1/size,sizes/1/color,sizes/2/group,sizes/2/size,sizes/2/color,sizes/3/group,sizes/3/size,sizes/3/color,sizes/4/group,sizes/4/size,sizes/4/color
Got to Be There,Got to Be There,1972,,Got to Be There,1972,,Got to Be There,1972,,,,,,,
Love Is Here and Now You’re Gone,Love Is Here and Now You’re Gone,1972,,Love Is Here and Now You’re Gone,1972,,Love Is Here and Now You’re Gone,1972,,,,,,,
Rockin' Robin,Rockin' Robin,1972,,Rockin' Robin,1972,,Rockin' Robin,1972,,,,,,,
Ain't No Sunshine,Ain't No Sunshine,1972,,Ain't No Sunshine,1972,,Ain't No Sunshine,1972,,,,,,,
You've Got a Friend,You've Got a Friend,1972,,You've Got a Friend,1972,,You've Got a Friend,1972,,,,,,,
I Wanna Be Where You Are,I Wanna Be Where You Are,1972,,I Wanna Be Where You Are,1972,,I Wanna Be Where You Are,1972,,,,,,,
Girl Don't Take Your Love From Me,Girl Don't Take Your Love From Me,1972,,Girl Don't Take Your Love From Me,1972,,Girl Don't Take Your Love From Me,1972,,,,,,,
In Our Small Way,In Our Small Way,1972,,In Our Small Way,1972,,In Our Small Way,1972,,,,,,,
Maria (You Were the Only One),Maria (You Were the Only One),1972,,Maria (You Were the Only One),1972,,Maria (You Were the Only One),1972,,,,,,,
Wings of My Love,Wings of My Love,1972,,Wings of My Love,1972,,Wings of My Love,1972,,,,,,,
Will You Be There,Will You Be There,1991,,Will You Be There,1991,,Will You Be There,1991,,Will You Be There,1991,,Will You Be There,1991,
Heal the World,Heal the World,1991,,Heal the World,1991,,Heal the World,1991,,Heal the World,1991,,Heal the World,1991,
Jam,Jam,1991,,Jam,1991,,Jam,1991,,Jam,1991,,Jam,1991,
Why You Wanna Trip on Me,Why You Wanna Trip on Me,1991,,Why You Wanna Trip on Me,1991,,Why You Wanna Trip on Me,1991,,Why You Wanna Trip on Me,1991,,Why You Wanna Trip on Me,1991,
In the Closet,In the Closet,1991,,In the Closet,1991,,In the Closet,1991,,In the Closet,1991,,In the Closet,1991,
She Drives Me Wild,She Drives Me Wild,1991,,She Drives Me Wild,1991,,She Drives Me Wild,1991,,She Drives Me Wild,1991,,She Drives Me Wild,1991,
Remember the Time,Remember the Time,1991,,Remember the Time,1991,,Remember the Time,1991,,Remember the Time,1991,,Remember the Time,1991,
Can't Let Her Get Away,Can't Let Her Get Away,1991,,Can't Let Her Get Away,1991,,Can't Let Her Get Away,1991,,Can't Let Her Get Away,1991,,Can't Let Her Get Away,1991,
Black or White,Black or White,1991,,Black or White,1991,,Black or White,1991,,Black or White,1991,,Black or White,1991,
Who Is It,Who Is It,1991,,Who Is It,1991,,Who Is It,1991,,Who Is It,1991,,Who Is It,1991,
Give In to Me,Give In to Me,1991,,Give In to Me,1991,,Give In to Me,1991,,Give In to Me,1991,,Give In to Me,1991,
Keep the Faith,Keep the Faith,1991,,Keep the Faith,1991,,Keep the Faith,1991,,Keep the Faith,1991,,Keep the Faith,1991,
Gone Too Soon,Gone Too Soon,1991,,Gone Too Soon,1991,,Gone Too Soon,1991,,Gone Too Soon,1991,,Gone Too Soon,1991,
Dangerous,Dangerous,1991,,Dangerous,1991,,Dangerous,1991,,Dangerous,1991,,Dangerous,1991,
