Michael_Jackson,liste_des_chansons,liste_des_chansonsLabel,genre_artistique,genre_artistiqueLabel,producteur_ou_productrice,producteur_ou_productriceLabel,identifiant_AllMusic_d_un_album,label_discographique,label_discographiqueLabel,langue_de_l_œuvre__du_nom_ou_du_terme,langue_de_l_œuvre__du_nom_ou_du_termeLabel,date_de_publication
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q19856961,Got to Be There,http://www.wikidata.org/entity/Q131272,soul,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q104776893,Love Is Here and Now You’re Gone,http://www.wikidata.org/entity/Q131272,soul,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q104777366,Rockin' Robin,http://www.wikidata.org/entity/Q131272,soul,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109070631,Ain't No Sunshine,http://www.wikidata.org/entity/Q131272,soul,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109788077,You've Got a Friend,http://www.wikidata.org/entity/Q131272,soul,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109795831,I Wanna Be Where You Are,http://www.wikidata.org/entity/Q131272,soul,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109796457,Girl Don't Take Your Love From Me,http://www.wikidata.org/entity/Q131272,soul,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109796552,In Our Small Way,http://www.wikidata.org/entity/Q131272,soul,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109796899,Maria (You Were the Only One),http://www.wikidata.org/entity/Q131272,soul,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109797058,Wings of My Love,http://www.wikidata.org/entity/Q131272,soul,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q19856961,Got to Be There,http://www.wikidata.org/entity/Q850412,RnB contemporain,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q104776893,Love Is Here and Now You’re Gone,http://www.wikidata.org/entity/Q850412,RnB contemporain,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q104777366,Rockin' Robin,http://www.wikidata.org/entity/Q850412,RnB contemporain,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109070631,Ain't No Sunshine,http://www.wikidata.org/entity/Q850412,RnB contemporain,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109788077,You've Got a Friend,http://www.wikidata.org/entity/Q850412,RnB contemporain,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109795831,I Wanna Be Where You Are,http://www.wikidata.org/entity/Q850412,RnB contemporain,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109796457,Girl Don't Take Your Love From Me,http://www.wikidata.org/entity/Q850412,RnB contemporain,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109796552,In Our Small Way,http://www.wikidata.org/entity/Q850412,RnB contemporain,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109796899,Maria (You Were the Only One),http://www.wikidata.org/entity/Q850412,RnB contemporain,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109797058,Wings of My Love,http://www.wikidata.org/entity/Q850412,RnB contemporain,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q19856961,Got to Be There,http://www.wikidata.org/entity/Q997481,bubblegum pop,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q104776893,Love Is Here and Now You’re Gone,http://www.wikidata.org/entity/Q997481,bubblegum pop,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q104777366,Rockin' Robin,http://www.wikidata.org/entity/Q997481,bubblegum pop,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109070631,Ain't No Sunshine,http://www.wikidata.org/entity/Q997481,bubblegum pop,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109788077,You've Got a Friend,http://www.wikidata.org/entity/Q997481,bubblegum pop,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109795831,I Wanna Be Where You Are,http://www.wikidata.org/entity/Q997481,bubblegum pop,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109796457,Girl Don't Take Your Love From Me,http://www.wikidata.org/entity/Q997481,bubblegum pop,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109796552,In Our Small Way,http://www.wikidata.org/entity/Q997481,bubblegum pop,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109796899,Maria (You Were the Only One),http://www.wikidata.org/entity/Q997481,bubblegum pop,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q19060,http://www.wikidata.org/entity/Q109797058,Wings of My Love,http://www.wikidata.org/entity/Q997481,bubblegum pop,http://www.wikidata.org/entity/Q5640741,Hal Davis,mw0000202994,http://www.wikidata.org/entity/Q43327,Motown,http://www.wikidata.org/entity/Q1860,anglais,1972
http://www.wikidata.org/entity/Q44104,http://www.wikidata.org/entity/Q76361044,Will You Be There,http://www.wikidata.org/entity/Q11399,rock,http://www.wikidata.org/entity/Q2831,Michael Jackson,mw0000674875,http://www.wikidata.org/entity/Q216364,Epic Records,http://www.wikidata.org/entity/Q1860,anglais,1991
http://www.wikidata.org/entity/Q44104,http://www.wikidata.org/entity/Q106441048,Heal the World,http://www.wikidata.org/entity/Q11399,rock,http://www.wikidata.org/entity/Q2831,Michael Jackson,mw0000674875,http://www.wikidata.org/entity/Q216364,Epic Records,http://www.wikidata.org/entity/Q1860,anglais,1991
http://www.wikidata.org/entity/Q44104,http://www.wikidata.org/entity/Q108339477,Jam,http://www.wikidata.org/entity/Q11399,rock,http://www.wikidata.org/entity/Q2831,Michael Jackson,mw0000674875,http://www.wikidata.org/entity/Q216364,Epic Records,http://www.wikidata.org/entity/Q1860,anglais,1991
http://www.wikidata.org/entity/Q44104,http://www.wikidata.org/entity/Q108340369,Why You Wanna Trip on Me,http://www.wikidata.org/entity/Q11399,rock,http://www.wikidata.org/entity/Q2831,Michael Jackson,mw0000674875,http://www.wikidata.org/entity/Q216364,Epic Records,http://www.wikidata.org/entity/Q1860,anglais,1991
http://www.wikidata.org/entity/Q44104,http://www.wikidata.org/entity/Q108341521,In the Closet,http://www.wikidata.org/entity/Q11399,rock,http://www.wikidata.org/entity/Q2831,Michael Jackson,mw0000674875,http://www.wikidata.org/entity/Q216364,Epic Records,http://www.wikidata.org/entity/Q1860,anglais,1991
http://www.wikidata.org/entity/Q44104,http://www.wikidata.org/entity/Q108342133,She Drives Me Wild,http://www.wikidata.org/entity/Q11399,rock,http://www.wikidata.org/entity/Q2831,Michael Jackson,mw0000674875,http://www.wikidata.org/entity/Q216364,Epic Records,http://www.wikidata.org/entity/Q1860,anglais,1991
