Nom du chanteur,Albums,Chansons,Producteurs,Années,Carrière Groupe/Solo
Michael Jackson,Jackson 5 / Diana Ross Presents The Jackson 5,I Want You Back,"Hal Davis, Berry Gordy",1970,
Michael Jackson,Jackson 5 / Diana Ross Presents The Jackson 5,Who’s Lovin' You,"Hal Davis, Berry Gordy",1970,
Michael Jackson,Jackson 5 / Diana Ross Presents The Jackson 5,Can You Feel It,"Hal Davis, Berry Gordy",1970,
Michael Jackson,Jackson 5/ ABC,ABC,"The Corporation, Hal Davis",1971,
Michael Jackson,Jackson 5/ ABC,The Love You Save,"The Corporation, Hal Davis",1971,
Michael Jackson,Jackson 5/ Lookin' Through the Windows,Lookin' Through the Windows,The Corporation,1972,
Michael Jackson,Destiny,Shake Your Body (Down to the Ground),"Michael Jackson, The Jacksons",1975,
Michael Jackson,Destiny,Blame It on the Boogie,"Michael Jackson, The Jacksons",1975,
Michael Jackson,Thriller,The Girl Is Mine,"Quincy Jones, Michael Jackson",1982,Solo
Michael Jackson,Thriller,Billie Jean,"Quincy Jones, Michael Jackson",1982,Solo
Michael Jackson,Thriller,Beat It,"Quincy Jones, Michael Jackson",1982,Solo
Michael Jackson,Thriller,Wanna Be Startin' Somethin,"Quincy Jones, Michael Jackson",1982,Solo
Michael Jackson,Thriller,Human Nature,"Quincy Jones, Michael Jackson",1982,Solo
Michael Jackson,Thriller,P.Y.T. (Pretty Young Thing),"Quincy Jones, Michael Jackson",1982,Solo
Michael Jackson,Thriller,The Lady in My Life,"Quincy Jones, Michael Jackson",1982,Solo
Michael Jackson,Thriller,Thriller,Quincy Jones,1983,Solo
Michael Jackson,Bad,Bad,"Quincy Jones, Michael Jackson",1987,Solo
Michael Jackson,Bad,The Way You Make Me Feel,"Quincy Jones, Michael Jackson",1987,Solo
Michael Jackson,Bad,Man in the Mirror,"Quincy Jones, Michael Jackson",1987,Solo
Michael Jackson,Bad,Dirty Diana,"Quincy Jones, Michael Jackson",1987,Solo
Michael Jackson,Bad,Another Part of Me,"Quincy Jones, Michael Jackson",1987,Solo
Michael Jackson,Bad,Smooth Criminal,"Quincy Jones, Michael Jackson",1987,Solo
Michael Jackson,Bad,Leave Me Alone,"Quincy Jones, Michael Jackson",1987,Solo
Michael Jackson,Bad,Smooth Criminal,Michael Jackson,1988,Solo
Michael Jackson,Dangerous,Black or White,"Teddy Riley, Bill Bottrell, Michael Jackson, Jimmy Jam & Terry Lewis",1991,Solo
Michael Jackson,Dangerous,Remember the Time,"Teddy Riley, Bill Bottrell, Michael Jackson, Jimmy Jam & Terry Lewis",1991,Solo
Michael Jackson,Dangerous,In the Closet,"Teddy Riley, Bill Bottrell, Michael Jackson, Jimmy Jam & Terry Lewis",1991,Solo
Michael Jackson,Dangerous,Dangerous,"Teddy Riley, Bill Bottrell, Michael Jackson, Jimmy Jam & Terry Lewis",1991,Solo
Michael Jackson,Dangerous,Who Is It,"Teddy Riley, Bill Bottrell, Michael Jackson, Jimmy Jam & Terry Lewis",1991,Solo
Michael Jackson,Dangerous,Give In to Me,"Teddy Riley, Bill Bottrell, Michael Jackson, Jimmy Jam & Terry Lewis",1991,Solo
Michael Jackson,Dangerous,Will You Be There,"Teddy Riley, Bill Bottrell, Michael Jackson, Jimmy Jam & Terry Lewis",1991,Solo
Michael Jackson,Dangerous,Keep the Faith,"Teddy Riley, Bill Bottrell, Michael Jackson, Jimmy Jam & Terry Lewis",1991,Solo
Michael Jackson,Dangerous,"Dangerous"" (Remix)","Teddy Riley, Bill Bottrell, Michael Jackson, Jimmy Jam & Terry Lewis",1991,Solo
Michael Jackson,Dangerous,Remember the Time (Remix),"Teddy Riley, Michael Jackson",1992,Solo
Michael Jackson,"HIStory: Past, Present and Future, Book I","Scream"" (avec Janet Jackson)","Jimmy Jam & Terry Lewis, Michael Jackson, Rodney Jerkins, Teddy Riley",1995,Duo
